K_over_S,t_25,t_101,t_197,t_274,t_523,t_772,t_1000,t_1500,t_1769
0.4,4.20655108379505e-16,4.56221320363615e-16,0.271423533735461,9.38839191844479e-17,2.04193466739751e-16,5.18911368187543e-16,0.127429286000552,2.10928461458642e-16,0.0967269657214447
0.41,0.870095738460869,0.621588864360515,0.51496392697429,0.487871290644267,0.41027019092029,0.368066516146009,0.342338999600181,0.305098327893456,0.288412345936516
0.42,0.861695259157825,0.624705649090914,0.522378153639725,0.499190202108313,0.425809969927316,0.385730756762281,0.36130649291404,0.325846595736306,0.309206775196192
0.43,0.848892772042596,0.62077772884327,0.522186762124109,0.501815422027659,0.43212588175957,0.394060654048931,0.370918222618225,0.337307559914012,0.320956825268095
0.44,0.834844138063683,0.614137618294894,0.518900373261957,0.500768036348959,0.434369372721971,0.39818095189424,0.376253759823093,0.344434556493139,0.328464420859362
0.45,0.820466561753001,0.606204359859679,0.51402903499357,0.497754506939518,0.434324684796957,0.39988457010935,0.379101554912643,0.34898742266653,0.333440123849474
0.46,0.806103206973691,0.597614948252938,0.508268667080494,0.493574140042641,0.432843227356559,0.400034627585236,0.380327230392613,0.351824309844086,0.336719835147263
0.47,0.791892381760154,0.588701070752262,0.501994228628323,0.488666170522563,0.430402894035097,0.399119985756231,0.380423703709904,0.353437492051381,0.33878403664143
0.48,0.777887920729746,0.579649853839609,0.495426763391392,0.483295915748108,0.427299756523726,0.397446517679533,0.379701156399004,0.354139204510522,0.339938121879383
0.49,0.764107087256059,0.570571554921855,0.488703956396701,0.477633633080258,0.423729681985994,0.395218830561312,0.378368388595421,0.354141493533762,0.340389959178561
0.5,0.750551107005773,0.561532425630452,0.481914520227227,0.471793032618795,0.419828336766234,0.392580433627403,0.376572880460748,0.35359563916135,0.340288217719748
0.51,0.737214307787849,0.552572294403727,0.47511672999805,0.465852084502808,0.415692856660277,0.389635547323544,0.374422576898323,0.352613636172662,0.339743266094432
0.52,0.724087907740241,0.543714633317821,0.468349181118403,0.459865140967504,0.411394502616845,0.38646186466363,0.371998650874528,0.351280799219492,0.338839443310906
0.53,0.711162236739915,0.534972601003215,0.461637388179496,0.45387042028197,0.406986498769049,0.383118468078958,0.369363430149583,0.349663600475057,0.337642692911504
0.54,0.698427257428744,0.526352790524488,0.454998004457058,0.447894841389571,0.402509120746205,0.379650977263107,0.366565556596261,0.347814775244039,0.336205538488926
0.55,0.685873100736449,0.517857605963605,0.448441605196638,0.441957260244126,0.397993128433411,0.37609502817034,0.363643476257409,0.345776777696423,0.334570452937727
0.56,0.673490137199377,0.509486791777891,0.441974566427263,0.436070697490623,0.393462156718929,0.372478700990988,0.360627877503375,0.343584196061451,0.332772214270855
0.57,0.661269023245824,0.501238426150527,0.435600354910048,0.43024390541631,0.388934425336518,0.368824261132904,0.357543441382243,0.341265487146861,0.330839598275057
0.58,0.649200750263609,0.493109569700666,0.429320424699865,0.424482488500028,0.3844239892721,0.365149436606509,0.354410127766642,0.338844251460042,0.328796623474505
0.59,0.63727656908635,0.485096690195775,0.423134845698746,0.418789714559182,0.379941670484277,0.361468373789393,0.351244139481392,0.336340189776525,0.326663485606044
0.6,0.625487994334952,0.477195940693845,0.417042746900169,0.413167106876905,0.375495763221637,0.357792364592578,0.348058657598964,0.333769833534177,0.32445727162972
0.61,0.613826778318088,0.46940334146208,0.411042630101129,0.407614878550384,0.371092575136999,0.354130407633642,0.344864410622065,0.331147111254758,0.322192513912932
0.62,0.602284867906706,0.461714898704272,0.405132592346976,0.402132251485538,0.366736847170622,0.350489646567271,0.341670120773726,0.328483793858811,0.319881626391828
0.63,0.590854382023901,0.454126681928254,0.399310483708823,0.396717689957811,0.36243208255777,0.346875715955203,0.338482857813461,0.325789849031447,0.317535252130565
0.64,0.579527573574908,0.446634874455166,0.393574019063302,0.391369070129634,0.35818080683956,0.343293016480296,0.335308322198859,0.323073726252308,0.315162543371345
0.65,0.568296804669714,0.439235806778661,0.387920857072995,0.386083800964976,0.35398477493897,0.339744935424344,0.332151073515544,0.320342588240421,0.312771389452545
0.66,0.557154510847008,0.431925979317378,0.382348655741257,0.380858907741732,0.349845137294338,0.33623402421203,0.329014715978632,0.317602500467231,0.310368603976962
0.67,0.546093170679133,0.424702079041773,0.376855111217868,0.37569108628679,0.345762574147379,0.332762141890138,0.325902049880865,0.314858587479339,0.307960079772454
0.68,0.535105271520134,0.417560993102098,0.371437984610581,0.370576733782728,0.341737404992213,0.329330571285206,0.322815195748182,0.312115162671373,0.305550918138087
0.69,0.524183274441909,0.410499821738797,0.366095120179323,0.365511960279534,0.337769678664904,0.325940113016253,0.319755696414529,0.30937583661206,0.303145537369744
0.7,0.513319576534128,0.403515892233359,0.360824457290556,0.360492583722725,0.333859248428288,0.322591161366052,0.316724601077227,0.306643607887121,0.300747764448226
0.71,0.502506470498338,0.396606775379504,0.355624037772498,0.355514110261117,0.330005835576035,0.319283765121098,0.313722534529154,0.303920939567971,0.298360912940281
0.72,0.49173610099244,0.389770305856699,0.350492009758204,0.350571700738941,0.326209084468644,0.316017675798408,0.310749754105883,0.301209823767265,0.295987849532174
0.73,0.481000415724709,0.383004607929929,0.345426628668905,0.345660123542116,0.322468611471792,0.312792385130861,0.307806196380201,0.298511836245864,0.293631051132992
0.74,0.470291111574528,0.376308128078107,0.340426255629618,0.340773693306987,0.318784049959775,0.309607153241879,0.304891515244099,0.295828182652129,0.291292654112717
0.75,0.459599573415844,0.369679676464541,0.335489353283278,0.335906194370001,0.315155093350405,0.306461028575214,0.302005112711916,0.293159737675091,0.288974496950792
0.76,0.448916804328608,0.36311847962739,0.330614478644148,0.331050787202528,0.31158153803891,0.303352860334073,0.299146163537614,0.290507078157973,0.286678157344646
0.77,0.438233345208064,0.356624247424892,0.325800272272706,0.326199895403033,0.308063328089467,0.300281303907982,0.296313634549938,0.287870511032539,0.284404984649824
0.78,0.42753918093188,0.350197258173468,0.3210454426226,0.321345070075547,0.304600603622613,0.297244819511227,0.293506299460873,0.285250096786865,0.282156128383246
0.79,0.416823629835706,0.343838467157472,0.316348743860902,0.316476827574224,0.301193755008958,0.294241664010483,0.290722749787912,0.282645669061197,0.279932563410708
0.8,0.4060752121461,0.337549645392945,0.311708944734096,0.311285042891677,0.297424768867027,0.290891003175326,0.287661411344657,0.279853437131158,0.277541152618092
0.81,0.395281491566515,0.331333557880765,0.30712478506235,0.305800260343166,0.293329412436591,0.287218681611175,0.284340050050095,0.276882913864015,0.274990553778327
0.82,0.384428882537978,0.3251941938607,0.302594915079747,0.300040329758524,0.28893587128373,0.283245702640669,0.280773418932595,0.27374215053963,0.272288197591264
0.83,0.373502412927809,0.319137066180047,0.298117810937134,0.294012571275975,0.284266125934505,0.278988986156334,0.276973667053125,0.270437889736715,0.269440416269287
0.84,0.362485428264406,0.313169603416103,0.293691657017448,0.288699873534359,0.280023725646881,0.275237533839053,0.273568820886858,0.267395768830924,0.266770932597943
0.85,0.351359218227724,0.307301667743208,0.289314181951292,0.283949069366717,0.276167566495898,0.271951583029822,0.270532828940222,0.26460255001852,0.26427302191365
0.86,0.340102538172357,0.301546245071879,0.284982429887395,0.279643642481433,0.272661472272741,0.269098293450939,0.267841496255979,0.262045688747477,0.261940105207519
0.87,0.328690986465028,0.295920373792999,0.280692440978956,0.275577699880963,0.269343286764494,0.26631234040295,0.265205589636345,0.259531441796736,0.259724124231053
0.88,0.319140455085183,0.290446407735053,0.276438804191216,0.271700020889095,0.266195866199729,0.263588751810853,0.26261932362796,0.257056393442166,0.257620955046351
0.89,0.310517492287285,0.285149993365996,0.272214029956853,0.267971377121679,0.263204496732754,0.260921984003209,0.26007709091467,0.25461713512136,0.255627110819572
0.9,0.30449670023835,0.280147839570243,0.267627042346507,0.264361634580293,0.260356737361513,0.258305948849524,0.257573400811047,0.252210246233827,0.253739720992051
0.91,0.30021711301337,0.275460319480272,0.262701144474569,0.260260212944356,0.257030420358793,0.25534838459399,0.254805448529903,0.249629410920402,0.251660349786321
0.92,0.288377916152734,0.268382711446318,0.256646062470719,0.255699985321745,0.253247718853764,0.252060729905539,0.251780347763817,0.246877997556778,0.249394210960388
0.93,0.272174611280112,0.259278445483314,0.249537438592027,0.250707827877246,0.249022434469001,0.248450528999853,0.248502835868589,0.243958220121885,0.246945369121977
0.94,0.265553528829956,0.254087251860758,0.244898668947327,0.245305137151682,0.24436059744598,0.244521624962641,0.244975358293337,0.240871159075642,0.244316792925199
0.95,0.258607318354684,0.248879187382525,0.240613590138419,0.240700017495328,0.24033165259208,0.241003140425555,0.241754749505645,0.237995801183689,0.241978338649098
0.96,0.252480624919315,0.243691787903627,0.236606401709347,0.236750193955079,0.236882449982873,0.237868432801874,0.238823071974231,0.235321807663728,0.23992314908368
0.97,0.246598930153635,0.238955135835372,0.232794846757405,0.233355236399176,0.233969329813821,0.235092534143521,0.236163444836417,0.232839240551099,0.238145708959476
0.98,0.243019360560206,0.234624461724707,0.229120177025321,0.230085045692597,0.231158480207755,0.232448269168682,0.233604578913794,0.230432745239051,0.236435244559121
0.99,0.235800277891562,0.230020131031534,0.225365943105242,0.226899999374939,0.228431612746983,0.229921269713116,0.231135772121249,0.228095634628278,0.234790861047762
1,0.227908432571769,0.225062734636006,0.221468267919239,0.223767279821411,0.225770579024377,0.22749869684867,0.228746602203743,0.225821291502968,0.233211715578852
1.01,0.22469986416338,0.221284309293082,0.218400430089821,0.22066005168349,0.223156997736638,0.22516909616759,0.226426837372859,0.223603136071566,0.231697037843431
1.02,0.218836206592793,0.218391976128043,0.216086551445929,0.217504084990265,0.220345078577342,0.222599233501937,0.223923478145097,0.221269367934968,0.229972774045431
1.03,0.215900209131979,0.214033869442389,0.212326433257579,0.214199994013154,0.217311063806666,0.219778428140301,0.221228699802449,0.218815459528726,0.228039494701724
1.04,0.20909989160544,0.207582851007853,0.206942645363738,0.210683664182729,0.21402292681652,0.216691114097727,0.218332361100587,0.216235830203079,0.225896453185226
1.05,0.206314934091895,0.204602033256266,0.204525363616247,0.206924505351447,0.210438721296293,0.213316151152419,0.215221646407168,0.213523716751707,0.223541520388203
1.06,0.205609622753281,0.202325990594637,0.202431949218921,0.203900003668512,0.207383034004666,0.210412538372781,0.21247598886927,0.211074569285588,0.221471518193622
1.07,0.202727235577713,0.200138495893893,0.200569454121942,0.201500069325836,0.20481489661024,0.207960662045148,0.21008288890018,0.20887918161214,0.219681529722347
1.08,0.203197853642628,0.198415561983336,0.198520658587372,0.19966553818746,0.202701589444211,0.205947797148781,0.208031923412207,0.206929130626625,0.218167725180319
1.09,0.208444749841887,0.19650973442126,0.196088616467331,0.197905071047012,0.200709266532298,0.204030523543183,0.206057923158636,0.205043247933455,0.216624732264371
1.1,0.214348848182002,0.195244968306265,0.194268572493602,0.196199995598214,0.198804309777848,0.202196207470007,0.204149873931948,0.203213965945518,0.215049238749509
1.11,0.22225548283331,0.194128374226441,0.192980968459807,0.194498990582785,0.19695184305304,0.200432387062844,0.202296644325498,0.201433657853159,0.213437219910562
